Article title,Year,Author(s),No. Author(s),Type of institution,Name of the institution(s),No. institution(s),Study area,No. Study area,Country of study,Region,Country Development level,Size of companies,Journal,Journal field,FI - SJR,Quartile SJR,FI - JIF,Quartile JCR,Keywords,Article approach,Methodology,Type,Orientation,Theory,Determinants,Barriers,Characteristic of sustainable value creation,CSV Related to other concepts and theories
Sustainable performance management in the EU SME sector. A review and analysis of concepts and methods of strategic management accounting,2023,"Brian Jones, Albana Rasha, Joanna Dyczkowska, Tomasz Dyczkowski",4,University,Leeds Beckett University; Wroclaw University of Economics and Business,2,Circular economy; sustainability reporting; strategic management accounting,3,European Union,Europe,Developed,SMEs,Zeszyty Teoretyczne Rachunkowości,Accounting / Management,0.166,Q4,N/A,N/A,Business models; circular economy; SMEs; performance measurement; SBSC; ESG,Secondary,Systematic policy and literature review; comparative analysis of EU frameworks & toolkits,Literature review,Exploratory,Circular economy; SMA; SBSC,Regulatory alignment; sustainability toolkits; performance measurement strategies,Lack of ESG knowledge; low compliance readiness; limited funds; high reporting burden,Integration of ESG into business models; performance dashboards; Social Value Added metric; ENPV,"Related to CSR, Triple Bottom Line, Circular Business Models (CBM), Strategic Management Accounting frameworks"
Exploring the Influence of the Information and Communication Technology Dimensions on the Sustainability of Competitiveness in SMEs,2023,"Kahouli, B.; Nafla, A.; Chaaben, N.; Elleuch, Z.",4,University,"University of Ha’il (KSA), University of Sousse (Tunisia)",2,"ICT, Competitiveness, SMEs, Management",4,Saudi Arabia,Middle East,Developing,SMEs,Sustainability,General,1.9,Q2,3.9,Q2,"ICT, competitiveness, SMEs, service quality, market control, development, operational efficiency",Quantitative,"Survey (n=128), Likert scale, ANOVA, t-test, regression, descriptive stats via SPSS",Survey,Predictive,Neo-Schumpeterian theory,"ICT infrastructure (hardware, HR, software, databases, networks); operational efficiency; market control",Lack of creativity linkage; weak moral incentives; outdated databases; gender gap in ICT integration,"Enhancing competitiveness through ICT-enabled efficiency, service quality, and market responsiveness","Linked to digitalization, strategic ICT deployment, organizational learning, and technological transformation"
Green Innovation and Sustainable Products in Small and Medium-Sized Enterprises in China: The Moderating and Mediating Roles of Technology and Work Engagement,2023,Guo Sun; Andrew Agyemang; Ishmael Wiredu; Ummar Faruk Saeed,4,University,Jiangsu University (China); SDD–UBIDS (Ghana),2,Business & Management; Environmental Innovation,2,China,Asia,Developing,SMEs,Environmental Engineering and Management Journal,Multidisciplinary,0.5,Q3,N/A,N/A,"Green innovation, SMEs, sustainable products, technology, work engagement",Quantitative,Survey (628 valid responses); PLS-SEM with SmartPLS 4,Survey,Predictive,Resource-Based View (RBV); Diffusion of Innovation Theory,Product innovation; organizational culture; leadership,Weak employee engagement; lack of regulatory impact,Development of sustainable products through green innovation mediated by engagement and moderated by tech innovation,"Sustainability, Innovation Management, Technological Capability"
Electricity access and unreliability in the creation of sustainable livelihoods in Mozambique,2023,"Ugembe, M.A.; Brito, M.C.; Inglesi-Lotz, R.",3,University,Universidad de Lisboa; Universidad de Pretoria,2,"Access to electricity, sustainability, MSMEs, sustainable livelihoods",4,Mozambique,Africa,Developing,SMEs,Energy for Sustainable Development,Energy and Sustainable Development,0.9,Q2,3.7,Q2,"Mozambique, unreliable electricity, electricity affordability, MSMEs, sustainable livelihoods",Quantitative,Encuesta a 219 MSMEs + modelado econométrico no paramétrico (Wild Bootstrap),Empirical,Predictive,Sustainable development and productive livelihoods.,"Access to electricity, affordability, reliability of supply, productive use of energy","High electricity costs, frequent outages, lack of access to financing, informality","Productive use of electricity improves income, generates employment, and local production","Linked to Sustainable Development Goals (SDGs), energy poverty, productive electrification
"
Managers’ leadership competencies and sustainable development goals in turbulent markets: the enabling role of resource commitment,2023,"Shahzad Ahmad, Chunlin Xin, Ehsan Ullah, Saeed Siyal",4,University,Beijing University of Chemical Technology (China); Ural Federal University (Rusia),2,"Leadership competencies, SDGs, resource commitment, environmental uncertainty, SMEs",5,Pakistan,Asia,Developing,SMEs,Environmental Science and Pollution Research,Environmental Science and Sustainable Development,1.2,Q2,5.8,Q1,"SMEs, SDGs, leadership, environmental uncertainty, resource commitment, sustainable performance",Quantitative,Encuesta a 254 SMEs; análisis estructural con SmartPLS; regresión múltiple,Empirical,Predictive,Upper Echelon Theory (Top Management),"Management competencies, resource commitment, financial performance, company size and age
","Resource scarcity, environmental pressure, environmental uncertainty, lack of sustainable policies","Improved resource allocation, SDG implementation, adaptive leadership in unstable contexts","Related to SDGs, corporate social responsibility (CSR), sustainable leadership, organizational resilience, stakeholder theory"
Integrated lean-green practices and supply chain sustainability framework,2023,"Kosasih, W.; Pujawan, I. N.; Karningsih, P. D.; Shee, H.",4,University,Institut Teknologi Sepuluh Nopember; Universitas Tarumanagara; Victoria University,3,"Lean manufacturing, green practices, supply chain, sostenibilidad, SMEs",5,Indonesia,Asia,Developing,SMEs,Cleaner and Responsible Consumption,"Clean production, sustainability",0.8,Q2,N/A,N/A,"Lean, green, supply chain, sustainability, SMEs, Indonesia",Quantitative,Survey of 345 manufacturing SMEs; PLS-SEM structural equation modeling with SmartPLS,Empirical,Predictive,Triple Bottom Line; Lean-Green Integration Framework,Lean and green practices; senior management commitment; leadership; collaborative synergy; policy initiatives,Limited resources; resistance to change; lack of government support; poorly aligned organizational culture,"Lean-green integration improves economic, social, and environmental performance in the supply chain.","Related to TBL, ISO 14001 environmental management, inter-organizational collaboration, sustainability in supply chains"
"Influence of financial resources on sustainability performance of SMEs in emerging economy: The role of managerial and firm level attributes
",2023,"Khattak, M.S.; Wu, Q.; Ahmad, M.
",3,University,"The Hong Kong Polytechnic University; University of Lakki Marwat
",2,"Business & Management; Environmental Sustainability
",2,Pakistan,Asia,Developing,SMEs (20–250 employees),Business Strategy & Development,"Business, Strategy & Management
",0.45,Q3,N/A,N/A,"Demographic factors, finance resources, SDGs, small business, social practices, sustainability
",Quantitative,"Structural Equation Modeling (SmartPLS)
",Empirical,"Predictive / Explanatory
","Resource-Based View (RBV), Upper Echelon Theory (UE)
","Financial resources, managerial education, managerial experience, firm size

","Lack of financial resources, limited management training
","Efficient use of resources, environmental performance, education and management experience as facilitators
","Related to sustainable performance, RBV, organizational capabilities; it refers to the generation of economic and social value through sustainability."
"Sustainability of Romanian Small and Medium Enterprises Using the Electronic Signature as a Driving Digital Tool
",2023,"Borcoși, C.-A.; Borcoși, I.; Marian, M.; Cusman, A.; Ionică, D.
",5,"University / Research Center
","Constantin Brâncuși University; University of Craiova; CERT DIGITAL – Centrul de Calcul SA
",3,"Business Management; ICT; Environmental Sustainability
",3,Romania,Europe,Developing,SMEs,Sustainability,"Environmental Studies; Multidisciplinary
",0.664,Q2,3.9,Q2,sustainability; SME digitalization; electronic signatures,"Mixed (Quantitative + Qualitative)
",Surveys; SWOT analysis; Chi-square; Descriptive statistics,Empirical,"Descriptive / Exploratory
",No formal theory; applied approach based on sustainable digitalization policies and practices,"Digital tools (electronic signature); policy alignment with EU and national digital agendas; employee digital skills
","Lack of information, lack of trained personnel, lack of technological infrastructure","Cost and paper reduction, improved efficiency, digitalization as a means for sustainability and resilience","Connected with sustainability, operational efficiency, strategic digitalization, and post-COVID adaptation"
"Effects of Sustainability Practices on Farm Continuity in Urban Agriculture: From the Creating Shared Value Perspective
",2023,"Yoshida, S.; Yagi, H.
",2,Government; University,"Ministry of Agriculture, Forestry and Fisheries (Japan); The University of Tokyo
",2,"Agricultural Economics; Sustainability Management
",2,Japan,"Asia
",Developed,SMEs,Sustainability,"Environmental Studies; Multidisciplinary
",0.664,Q2,3.9,Q2,urban agriculture; creating shared value; sustainability; regression analysis; cluster analysis,Quantitative,"Regression analysis, factor analysis, cluster analysis
",Empirical,"Predictive / Explanatory
",Creating Shared Value (CSV); Resource-Based View (implícita); Strategic Management,"Strategic sustainability practices (environmental, social internal/external); operational capacity; family motivation","Edad avanzada, falta de sucesores, escasa inversión en RRHH",Social and environmental value integrated into the business strategy; agricultural continuity as an economic outcome,"CSV linked to business continuity, urban sustainability, food education, circular economy"
Can we count on the commitment of European SMEs to achieve SDG12? An exploratory study of business sustainability,2023,"Gomes, S.; Pinho, M.",2,"University / Research Center
","Portucalense University
",1,"Business Management; Environmental Sustainability
",2,Multiple,Europe,Developed,SMEs,"Journal of Cleaner Production
",Environmental Science; Sustainability,2.35,"Q1
",11.1,"Q1
","Resource-efficiency, Decarbonization, Small and medium-sized enterprises, Sustainable development goals",Quantitative,"Partial Least Squares (PLS), Confirmatory Factor Analysis (CFA), Descriptive statistics",Empirical,"Predictive / Explanatory
","No explicit theory, but based on sustainable transition and circular economy approaches","Own financial resources, level of investment in sustainability, administrative difficulties","Complex regulation, lack of external financing, high initial costs","Resource efficiency measures, implementation of clean technologies, adoption of circular production practices","Linked to environmental sustainability, green transition, circular economy and climate neutrality in SMEs"
"Creating shared value through open innovation approaches: Opportunities and challenges for corporate sustainability
",2023,"Camilleri, M.A.; Troise, C.; Strazzullo, S.; Bresciani, S.",4,University,University of Malta; University of Turin; University of Naples Federico II; University of Edinburgh,4,Business Strategy; Sustainability; Innovation Management,3,Global,Global,Global,SMEs,Business Strategy and the Environment,Business & Sustainability,2.85,"Q1
",11.6,"Q1
","corporate sustainability, creating shared value, open innovation, stakeholder engagement, strategic CSR",Qualitative / Theoretical,Systematic literature review (PRISMA),Secondary (review),Descriptive / Exploratory,Creating Shared Value (CSV); Open Innovation; Strategic CSR; Triple Bottom Line,"Stakeholder collaboration, organizational culture, trust, innovation capacity","Risk of information leakage, lack of trust in external alliances, regulatory challenges","Co-creation of economic, social, and environmental value; integration with stakeholders","Linked to open innovation, corporate sustainability, strategic social responsibility"
"Explaining sustainability performance and maturity in SMEs – Learnings from a 100-participant sustainability innovation project
",2023,"Salvador, R.; Søberg, P.V.; Jørgensen, M.S.; Schmidt-Kallesøe, L.-L.; Larsen, S.B.",5,"University / Research Institute
","Technical University of Denmark (DTU); Aalborg University; Danish Technological Institute
",3,Environmental Sustainability; Business & Management,2,Denmark,Europe,Developed,SMEs,Journal of Cleaner Production,"Environmental Science; Sustainability
",2.35,"Q1
",11.1,"Q1
","SME, sustainability, maturity, performance, innovation, triple bottom line, regression
",Quantitative,"Paired sample t-tests, Regression analysis",Empirical,Predictive / Explanatory,"Explicit reference to Creating Shared Value (Porter & Kramer), Triple Bottom Line","Technology and innovation, customer communication, segmentation strategy, operational management","Lack of capabilities, limited knowledge, lack of effective collaboration with stakeholders",Customer and partner involvement in product and process development; investment in sustainable technology,"CSV related to sustainable performance, organizational maturity, triple bottom line (economic, social, environmental)"
"Strategic resources alignment for sustainability: The impact of innovation capability and intellectual capital on SME’s performance. Moderating role of external environment
",2023,"Arshad, M.Z.; Arshad, D.; Lamsali, H.; Alshuaibi, A.S.I.; Alshuaibi, M.S.I.; Albashar, G.; Shakoor, A.; Chuah, L.F.",8,University / Research Institute,Universiti Utara Malaysia; Universiti Malaysia Terengganu; King Saud University; Western Sydney University; IMT Dubai,5,Business Management; Sustainability; Innovation,3,Pakistan,"Asia
",Developing,SMEs,"Journal of Cleaner Production
",Environmental Science / Sustainability,2.35,"Q1
",11.1,"Q1
","Strategic resources, Innovation capability, Intellectual capital, SME performance, Sustainability
",Quantitative,"PLS-SEM (SmartPLS 4.0), encuesta estructurada",Empirical,Predictive / Explanatory,Resource-Based View (RBV),"Innovation capabilities, intellectual capital (human, structural and relational), external environment","Environmental dynamism, competition, scarcity of tangible resources","Using intangible assets to achieve sustainable performance, competitive advantage and adaptation to the environment","Although CSV is not mentioned, it is strongly related to sustainability based on strategic capabilities and dynamic environment."
"Pro-environmental enterprise support: Developing a framework to unlock the potential of SMEs in sustainability transitions
",2024,"Gallotta, B.; Baranova, P.; Paterson, F.
",3,University,University of Derby (Derby Business School),1,Environmental Sustainability; Business Support; Innovation,3,United Kingdom,Europe,Developed,SMEs,Local Economy,Regional Economic Development; Business & Policy,0.68,Q3,N/A,N/A,"SMEs, sustainability transition, Delphi study, enterprise support, eco-innovation, shared value",Qualitative / Conceptual,Delphi (2 rondas) + Focus group con expertos,Empirical,Descriptive / Propositive,"Shared Value (Porter & Kramer), Sustainability Transitions, Entrepreneurial Learning","Environmental capacity, eco-innovation, responsible leadership, environmental strategy, sustainable value proposition","Lack of advisory skills, weak connection to supply chains, limited financing","Economic, social and environmental value through strategic support, innovation and collaborative networks","Directly related to shared value, organizational learning, regional sustainability, SDG 8"
"Post-Crisis Sustainable Performance of Manufacturing SMEs: The Roles of Positive Orientation, Financial Slack, and External Networks
",2023,"Chan, A.; Cheng, F.; Cheng, S.-L.
",3,University,City University of Hong Kong,1,"Business Management; Organizational Resilience; Sustainability
",3,"Hong Kong (China)
","Asia
",Developed,SMEs (industria electrónica y textil),Sustainability,Environmental Studies; Multidisciplinary,0.664,Q2,3.9,Q2,"SMEs, positive orientation, financial slack, external networks, strategic change, sustainable performance",Quantitative,Multiple regression; indirect effects (PROCESS); Likert scales; sample de 207 empresas,Empirical,Predictive / Explanatory,Environment–Strategy–Performance Paradigm; Organizational Resilience; Psychological Capital,"Positive orientation, external networks, financial flexibility, perception of environmental hostility","Economic crisis, intense competition, liquidity shortage, resistance to change","Post-crisis strategic adaptation, organizational resilience, process innovation, prudent investment",Conceptually connected to CSV through internal capabilities and external networks that drive sustainable value
Sustainable recovery in small businesses: Analysis of sustainable practices and the goals for sustainable development,2023,"Ávila, L.V.; Germann-Ávila, A.; Kieling, D.L.; Cavalcante, D.M.; Lima, C.D.S.",5,University,"Universidade Federal de Santa Maria (UFSM), Brazil
",1,Sustainability; Small Business Management; Agribusiness,3,Brazil,South America,Developing,"SMEs (social agribusinesses)
",Environmental Quality Management,Environmental Management,0.381,Q3,N/A,N/A,"SDGs, small business, sustainability, sustainable development, sustainable recovery",Quantitative / Descriptive,Survey (24 empresas); análisis estadístico descriptivo (frecuencias con SPSS),Empirical,Descriptive / Diagnostic,Triple Bottom Line (implícita); sin marco teórico unificado explícito,"Cooperation between companies, community associations, environmental awareness, strategic planning","Lack of tax incentives, limited government support, limited access to financing, lack of management tools","Use of renewable energy, responsible water consumption, recycling, local employment, environmental awareness","Related to SDGs, solidarity economy, territorial development, participatory sustainability"
The impact of creating shared value strategy on corporate sustainable development: From resources perspective,2023,"Wei-jian Li, Wei Zhu, Bin Wang",3,University,Shandong University of Finance and Economics,1,"CSV, corporate sustainability, financial performance, social performance, environmental performance",5,China,"Asia
",Developing,Large manufacturing companies (not focused on SMEs directly),Corporate Social Responsibility and Environmental Management,Responsabilidad Social Corporativa y Gestión Ambiental,1.5,"Q1
",6,"Q1
","Creating shared value, corporate sustainable development, social performance, environmental performance, financial performance",Quantitative,Fixed effects model; instrumental variables regression; PSM; mediation and consequence analysis; sample of 286 companies (2012–2020),Empirical,Predictive,Resource Dependence Theory and Resource-Based Theory (RDT & RBV),"Number of CSV activities, social, environmental and financial performance, provision and acquisition of resources","Limited strategic commitment, low level of CSV in many companies, difficulty in measuring impact","Simultaneous improvement of social, environmental and financial performance through CSV strategies","Directly based on Porter & Kramer's CSV; related to TBL, stakeholders, sustainable innovation, corporate social responsibility, and clusters"
Theoretical framework of sustainable value creation by companies: What do we know so far?,2023,"Zioło, M.; Bąk, I.; Spoz, A.",3,University,University of Szczecin; West Pomeranian University of Technology; The John Paul II Catholic University of Lublin,3,"CSV, ESG, sustainable business models, stakeholder theory, green finance",5,Global,Multiple,Developed / Developing,SMEs,Corporate Social Responsibility and Environmental Management,Responsabilidad Social y Gestión Ambiental,2.3,"Q1
",N/A,N/A,"sustainable value, ESG, SME, sustainability, companies, sustainable business models",Secundario (revisión sistemática de literatura + análisis estadístico multivariado),Revisión sistemática (101 publicaciones); análisis de correspondencias múltiples para identificar patrones y clusters,Theoretical review,Descriptive / Exploratory,"Triple Bottom Line, teoría del stakeholder, modelos de negocio sostenibles","Location, company size, industry type, innovation, collaboration, regulation, access to financing",Lack of a unified definition of sustainable value; scarcity of comprehensive studies; limited access to resources in SMEs,"Inclusion of economic, social, and environmental value in business models; co-creation with stakeholders; resource efficiency; innovation","Directly based on Porter & Kramer's CSV; related to TBL, stakeholders, sustainable innovation, corporate social responsibility, and clusters"
