title;rank;total_ratings;installs;average rating;growth (30 days);growth (60 days);price;category;5_star_ratings;4 star ratings;3 star ratings;2 star ratings;1 star ratings;paid;US_Sales;EU_sales;JP_sales;Global_sales;User_rating;Critic_Rating;
Injustice: Gods Among Us;30;2540439;10.0 M;4;0,1;0,2;0;GAME_ACTION;1879504;251048;115871;60732;233281;FALSE;39534;122148;3536;184019;2,1;23;
Swamp Attack;31;2472561;100.0 M;4;0,3;0,7;0;GAME_ACTION;1841035;284687;138333;56785;151718;FALSE;15565;157274;115062;563304;4,3;48;
GUNSHIP BATTLE: Helicopter 3D;32;2380639;50.0 M;4;0,2;0,3;0;GAME_ACTION;1582549;267812;149090;73581;307605;FALSE;123997;53209;151925;454349;6,2;69;
Real Steel World Robot Boxing;33;2365838;50.0 M;4;0,1;0,2;0;GAME_ACTION;1849560;211891;101452;42652;160281;FALSE;141750;9016;100075;524099;9;95;
Critical Ops: Online Multiplayer FPS Shooting Game;34;2271977;50.0 M;4;0,4;0,9;0;GAME_ACTION;1561779;253442;130615;65118;261021;FALSE;189546;134556;31144;403974;4,2;82;
LINE Rangers - a tower defense RPG w/Brown & Cony!;35;2131549;10.0 M;4;0,1;0,2;0;GAME_ACTION;1508264;249413;138706;48233;186930;FALSE;178791;118479;75557;539461;1,7;42;
Worms Zone .io - Voracious Snake;36;2100984;100.0 M;4;3,1;6,7;0;GAME_ACTION;1509125;187398;116123;66573;221763;FALSE;59510;120205;83034;419062;6,4;51;
Six-Guns: Gang Showdown;37;2083413;10.0 M;4;0,1;0,1;0;GAME_ACTION;1394048;187327;118080;65989;317967;FALSE;96312;197434;13216;310712;4;28;
DEAD TARGET: Zombie Offline - Shooting Games;38;2006745;100.0 M;4;0,9;1,6;0;GAME_ACTION;1474331;212483;115682;53493;150754;FALSE;117806;175694;94256;425323;9;10;
FRONTLINE COMMANDO: D-DAY;39;1985016;10.0 M;3;0,3;0,6;0;GAME_ACTION;1293275;125940;82481;56490;426828;FALSE;106138;63941;5549;287174;8,4;20;
Mario Kart Tour;40;1949497;50.0 M;4;0,7;1,5;0;GAME_ACTION;1268146;253822;113829;62099;251599;FALSE;65141;178389;59290;431060;5,4;13;
Guns of Boom - Online PvP Action;41;1860814;50.0 M;4;0,1;0,1;0;GAME_ACTION;1160948;217692;116516;65998;299658;FALSE;103763;31607;183858;598480;5,5;60;
Hunter Assassin;42;1846221;100.0 M;4;2,7;6,1;0;GAME_ACTION;1224239;194406;138751;80276;208547;FALSE;24673;56183;73519;302021;6,3;90;
RULES OF SURVIVAL;43;1823477;50.0 M;3;0,1;0,2;0;GAME_ACTION;1182010;113508;91381;66639;369937;FALSE;92287;79265;170216;363274;3,8;12;
Zombie Catchers - love the hunt!;44;1796325;100.0 M;4;1,4;3,2;0;GAME_ACTION;1346602;186584;95030;41917;126190;FALSE;147927;168300;105474;585758;2,6;59;
Into the Dead;45;1714060;50.0 M;4;0,2;0,3;0;GAME_ACTION;1307508;207492;77701;27838;93519;FALSE;173011;100027;50430;433024;7;27;
Respawnables: Gun Shooting Games;46;1656299;10.0 M;4;0,1;0,2;0;GAME_ACTION;1168260;143292;81868;46576;216300;FALSE;23490;139957;182736;433863;3,4;14;
Modern Strike Online: Free PvP FPS shooting game;47;1642589;50.0 M;4;1,1;2,5;0;GAME_ACTION;1250905;137258;70168;38552;145704;FALSE;89158;160352;72393;410765;3;46;
Block Strike;48;1607897;10.0 M;4;0,2;0,5;0;GAME_ACTION;1036342;184035;107587;53758;226173;FALSE;127358;192714;52800;440356;5,3;67;
Blitz Brigade - Online FPS fun;49;1599244;10.0 M;3;0;0;0;GAME_ACTION;996575;145501;99100;53947;304119;FALSE;192123;124633;45051;526608;1,5;48;
Super Mario Run;50;1583866;100.0 M;3;0,3;0,8;0;GAME_ACTION;877904;162431;131708;84146;327675;FALSE;96108;102514;189393;500254;6,9;67;
Tomb of the Mask;51;1576576;100.0 M;4;2,3;5,3;0;GAME_ACTION;1146916;188132;81053;40397;120075;FALSE;90751;36899;153175;439195;3,1;98;
Archero;52;1542169;50.0 M;4;0,9;1,8;0;GAME_ACTION;1081928;209791;90183;36824;123441;FALSE;101832;12287;41061;274589;3,4;99;
DINO HUNTER: DEADLY SHORES;53;1495507;50.0 M;4;0,1;0,2;0;GAME_ACTION;1096349;179585;80390;29979;109201;FALSE;173796;124507;121682;704058;2,1;64;
DEAD TRIGGER - Offline Zombie Shooter;54;1481552;10.0 M;4;0,1;0,3;0;GAME_ACTION;1101432;189555;81708;28774;80080;FALSE;179266;57002;158767;613696;3,2;59;
Johnny Trigger - Action Shooting Game;55;1457639;100.0 M;4;1,2;2,7;0;GAME_ACTION;1091308;146150;77445;36949;105784;FALSE;60147;167135;186710;488991;1,2;28;
PPSSPP - PSP emulator;56;1396630;100.0 M;4;0,9;1,9;0;GAME_ACTION;1033914;134027;67488;33534;127664;FALSE;66699;27016;23319;143433;6,1;84;
Robbery Bob - Sneaky Adventures;57;1344699;100.0 M;4;1,7;3,7;0;GAME_ACTION;1027860;91275;58201;37535;129825;FALSE;134344;181977;47509;507756;7,8;63;
Hide Online - Hunters vs Props;58;1301440;50.0 M;4;1,2;2,5;0;GAME_ACTION;944546;135687;69421;32918;118866;FALSE;51905;165408;162311;495817;7,2;68;
Soul Knight;59;1291305;50.0 M;4;1,4;2,9;0;GAME_ACTION;992147;145616;55754;23143;74642;FALSE;89047;59861;153343;493787;4,8;97;
aquapark.io;60;1258805;100.0 M;4;1,3;2,7;0;GAME_ACTION;820853;127892;80228;51083;178747;FALSE;74930;107715;124337;430950;3,3;31;
Creative Destruction;61;1254295;10.0 M;4;0,5;1,2;0;GAME_ACTION;896055;102711;59553;34605;161368;FALSE;117483;33958;14621;315279;9,8;64;
Anger of stick 5 : zombie;62;1238228;100.0 M;4;1,3;3;0;GAME_ACTION;909585;103667;61570;36884;126519;FALSE;50497;55787;131786;300299;1,8;12;
Bomber Friends;63;1227050;50.0 M;4;0,8;1,7;0;GAME_ACTION;876781;130160;71604;34890;113612;FALSE;139044;103963;195814;619784;1,6;69;
DRAGON BALL LEGENDS;64;1216126;10.0 M;4;1,6;3,6;0;GAME_ACTION;868905;139200;61082;28015;118922;FALSE;40017;13452;53203;257335;1,8;69;
Modern Sniper;65;1196490;50.0 M;4;0,3;0,6;0;GAME_ACTION;777088;124118;91842;47065;156374;FALSE;43105;160980;174165;430057;7,6;96;
Nebulous.io;66;1166709;50.0 M;4;0,3;0,6;0;GAME_ACTION;829860;123712;68779;31450;112906;FALSE;42963;18557;161510;484435;7,7;69;
War Machines: Tank Battle - Army & Military Games;67;1161701;100.0 M;4;1,2;2,4;0;GAME_ACTION;692694;176040;96601;46480;149883;FALSE;123128;165100;106844;595178;1,3;12;
Sea Battle 2;68;1134127;10.0 M;4;1,4;3,1;0;GAME_ACTION;904701;144910;43308;12872;28334;FALSE;94365;46859;6747;227604;3;87;
FRAG Pro Shooter;69;1129645;50.0 M;4;4,1;8,5;0;GAME_ACTION;846003;88206;53387;31451;110596;FALSE;156424;184755;143219;501434;1,3;49;
PUBG MOBILE;70;1073769;10.0 M;4;2,7;4,5;0;GAME_ACTION;839876;56847;34971;22041;120032;FALSE;122729;127602;41964;564782;2,8;84;
Rope Hero: Vice Town;71;1070197;100.0 M;4;2,6;5,6;0;GAME_ACTION;758309;80160;55138;37528;139060;FALSE;176535;166503;60661;573477;9,7;75;
DRAGON BALL Z DOKKAN BATTLE;72;1066554;10.0 M;4;0,5;0,9;0;GAME_ACTION;795922;118008;40491;18831;93301;FALSE;61701;24426;32785;187866;7,9;34;
Deer Hunter 2018;73;1023162;50.0 M;4;0;0,1;0;GAME_ACTION;637243;120170;62893;33380;169472;FALSE;169856;155159;134271;673588;4,3;74;
FRONTLINE COMMANDO 2;74;998677;10.0 M;4;0;0,1;0;GAME_ACTION;716212;146888;62106;19161;54308;FALSE;34634;38266;7209;123276;7,7;60;
Real Gangster Crime;75;996586;100.0 M;4;2,7;5,9;0;GAME_ACTION;682355;73943;51588;39307;149391;FALSE;189234;95136;72418;605657;3,4;89;
Battlelands Royale;76;992742;10.0 M;4;0,2;0,6;0;GAME_ACTION;617561;123643;72319;38945;140270;FALSE;8857;99045;100668;442313;2,9;13;
Talking Tom Hero Dash - Run Game;77;974789;100.0 M;4;4,2;9;0;GAME_ACTION;711239;72360;43788;30322;117078;FALSE;55478;21700;4336;249581;4,6;10;
Arena of Valor: 5v5 Arena Game;78;963507;10.0 M;3;0,5;0,9;0;GAME_ACTION;547583;109014;62331;33309;211267;FALSE;65201;136562;51131;297055;1,8;94;
BombSquad;79;907609;10.0 M;4;0,7;1,4;0;GAME_ACTION;669505;94180;47135;22028;74760;FALSE;26323;73049;178570;396353;8,5;56;
PUBG MOBILE VN – KONG x GODZILLA;80;900069;10.0 M;4;1,5;2,3;0;GAME_ACTION;623089;74194;38393;22556;141835;FALSE;163359;61928;98960;428872;9;25;
Crisis Action: 5th Anniversary;81;875257;10.0 M;3;0,1;0,2;0;GAME_ACTION;550679;68691;58297;34315;163272;FALSE;198213;159387;72797;668660;6,8;37;
Supreme Duelist Stickman;82;875065;100.0 M;4;6,4;14,5;0;GAME_ACTION;702488;63211;30606;16093;62664;FALSE;87684;6210;24649;325623;3,4;88;
Miraculous Ladybug & Cat Noir;83;864581;100.0 M;4;2,5;5,3;0;GAME_ACTION;650499;70109;36672;23021;84278;FALSE;47161;11187;96966;378081;9,1;35;
Injustice 2;84;809654;10.0 M;4;0,5;1,3;0;GAME_ACTION;537380;104057;50801;25962;91451;FALSE;38280;154768;150352;367264;7,6;96;
NARUTO X BORUTO NINJA VOLTAGE;85;809487;10.0 M;4;1,9;4,2;0;GAME_ACTION;550198;75892;46216;25340;111839;FALSE;2752;103811;135545;364127;2;37;
Flippy Knife;86;808331;10.0 M;4;0,3;0,8;0;GAME_ACTION;514130;120636;67629;30074;75860;FALSE;155126;34177;199290;581079;3,4;60;
Bus Rush;87;800432;100.0 M;4;0,1;0,2;0;GAME_ACTION;565625;79308;51475;23173;80847;FALSE;160037;42421;66610;488135;6,1;89;
BLOOD & GLORY;88;799866;10.0 M;3;0;0;0;GAME_ACTION;487332;76581;33776;18217;183958;FALSE;10975;85175;20221;346576;6,4;42;
Murder us;89;799114;10.0 M;4;2,9;9;0;GAME_ACTION;628812;68233;33155;13323;55590;FALSE;98635;184422;109722;400628;6,9;12;
Robbery Bob 2: Double Trouble;90;794575;50.0 M;4;1,7;3,6;0;GAME_ACTION;614844;53826;33678;20882;71341;FALSE;74600;97045;192520;525370;1,4;82;
Shadow Fight 2;91;792071;100.0 M;4;0,1;0,2;0;GAME_ACTION;680584;47463;18399;8824;36799;FALSE;8371;26125;84815;278703;6,7;54;
Vector 2;92;788653;50.0 M;4;0,3;0,7;0;GAME_ACTION;537934;79339;56540;30852;83985;FALSE;149484;98794;72292;372727;5,9;21;
Slap Kings;93;777188;50.0 M;4;1,4;3,1;0;GAME_ACTION;551328;86449;45301;21966;72141;FALSE;127471;184252;94677;614100;7,9;99;
Bed Wars;94;771254;50.0 M;4;3;6,6;0;GAME_ACTION;542497;74237;39639;20325;94553;FALSE;50609;26234;161059;373197;4,8;10;
Modern Ops - Online FPS (Gun Games Shooter);95;764042;10.0 M;4;3;7,1;0;GAME_ACTION;585204;77395;31524;15502;54414;FALSE;178421;126813;174678;552678;9,5;56;
Bullet Force;96;756002;10.0 M;3;0,1;0,1;0;GAME_ACTION;434187;90078;58506;35311;137917;FALSE;19561;182544;170872;416871;6,9;53;
SHADOWGUN: DEADZONE;97;748945;10.0 M;4;0,1;0,3;0;GAME_ACTION;554163;80239;38183;14231;62125;FALSE;53517;193425;48459;492435;8,4;79;
Royal Revolt 2: Tower Defense RTS & Castle Builder;98;727627;10.0 M;4;0,1;0,1;0;GAME_ACTION;541833;91851;33669;12216;48055;FALSE;182962;41811;199267;719974;7;29;
Lara Croft: Relic Run;99;718905;10.0 M;4;0,2;0,5;0;GAME_ACTION;445276;83143;55372;35836;99275;FALSE;36548;92935;126872;279180;6,5;95;
WWE Mayhem;100;703514;10.0 M;4;0,6;1,3;0;GAME_ACTION;519090;68518;34658;17634;63612;FALSE;117093;55109;63526;444982;3,6;34;
Roblox;1;21820451;100.0 M;4;2,6;5,7;0;GAME_ADVENTURE;16674013;1916826;822266;423122;1984222;FALSE;117839;144382;87836;533111;7,9;44;
Pokémon GO;2;14541662;100.0 M;4;0,5;0,9;0;GAME_ADVENTURE;9517488;1746849;883965;452314;1941044;FALSE;80526;73370;29471;234753;3,4;11;
Criminal Case;3;4273420;100.0 M;4;0,1;0,2;0;GAME_ADVENTURE;3264905;445397;217853;93681;251581;FALSE;176944;151961;188478;791086;3,8;33;
쿠키런 for Kakao;4;2544322;10.0 M;4;0;0;0;GAME_ADVENTURE;1722222;323198;198160;74312;226427;FALSE;196610;182873;24476;544334;4,5;82;
Harry Potter: Hogwarts Mystery;5;2258595;50.0 M;4;1,5;3,3;0;GAME_ADVENTURE;1659776;310670;122549;48906;116692;FALSE;18430;10603;16363;229674;9,2;76;
Kiloblocks Lite;6;2078458;100.0 M;3;0;0;0;GAME_ADVENTURE;1166370;247385;221072;104655;338974;FALSE;118810;92133;94056;334048;8,5;86;
Mini World: Block Art;7;2016845;50.0 M;4;15364,2;5,2;0;GAME_ADVENTURE;1423448;161233;90975;57560;283626;FALSE;21679;95252;8455;291723;7,4;53;
BADLAND;8;1585186;10.0 M;4;0,1;0,2;0;GAME_ADVENTURE;1211041;177267;74388;29809;92678;FALSE;177202;139311;29860;551375;2,3;85;
Genshin Impact;9;1550978;10.0 M;4;6,2;15,5;0;GAME_ADVENTURE;1248963;139513;50491;23697;88311;FALSE;164351;73221;158935;447917;4,1;62;
Ice Age Adventures;10;1434245;50.0 M;4;0,1;0,1;0;GAME_ADVENTURE;943752;176055;111141;53711;149584;FALSE;189874;134767;71931;436010;5,2;24;
The Walking Dead: Season One;11;1279866;10.0 M;4;0,1;0,3;0;GAME_ADVENTURE;990768;104418;57683;28206;98788;FALSE;9411;113129;182525;312114;4,5;59;
Benji Bananas;12;1164984;50.0 M;4;0,1;0,3;0;GAME_ADVENTURE;851605;128930;74782;26563;83101;FALSE;72406;39656;117703;508216;10;53;
KIM KARDASHIAN: HOLLYWOOD;13;1096282;10.0 M;4;0,1;0,1;0;GAME_ADVENTURE;754581;139419;71549;32075;98655;FALSE;117895;3329;161133;414461;2,5;22;
Growtopia;14;1014301;10.0 M;3;0,3;0,7;0;GAME_ADVENTURE;542530;73688;72005;51658;274417;FALSE;185784;161494;180612;681813;6;22;
Family Guy The Quest for Stuff;15;1008075;10.0 M;3;0;0;0;GAME_ADVENTURE;587972;126076;79831;49340;164854;FALSE;29214;151396;121696;326493;4,6;24;
The Secret Society - Hidden Objects Mystery;16;892542;5.0 M;4;0,1;0,1;0;GAME_ADVENTURE;532135;214918;102189;19643;23655;FALSE;123662;18085;17879;290068;10;81;
June's Journey: Hidden Objects;17;830121;10.0 M;4;1,9;4;0;GAME_ADVENTURE;580582;143752;41142;16642;48000;FALSE;33470;4178;198620;382975;8,2;18;
Murder in the Alps;18;822854;10.0 M;4;1;2,2;0;GAME_ADVENTURE;499384;155809;79328;34103;54228;FALSE;1058;78434;178584;385514;7,1;60;
Tiny Miner;19;753449;5.0 M;4;0;0;0;GAME_ADVENTURE;583782;93073;41661;10380;24550;FALSE;78197;114706;118490;368369;4,1;20;
Rayman Adventures;20;734291;10.0 M;4;0,2;0,5;0;GAME_ADVENTURE;548689;77834;37498;17379;52889;FALSE;50686;136729;159339;454981;2,3;82;
Swordigo;21;728187;10.0 M;4;0,5;1;0;GAME_ADVENTURE;601386;54972;24205;10694;36927;FALSE;137283;100370;124233;420515;8;32;
The Walking Dead: Season Two;22;677145;10.0 M;4;0,1;0,3;0;GAME_ADVENTURE;526704;54521;28494;14271;53152;FALSE;182106;104241;175482;642822;3,9;72;
Eyes: Scary Thriller - Creepy Horror Game;23;668761;10.0 M;4;1,1;2,2;0;GAME_ADVENTURE;502309;64074;32411;16085;53879;FALSE;28734;38023;162917;437938;5,3;82;
ARK: Survival Evolved;24;653025;10.0 M;4;2,6;5,5;0;GAME_ADVENTURE;422638;69283;42381;23676;95044;FALSE;46382;18263;143563;498713;8,9;71;
WorldCraft: 3D Build & Block Craft;25;637160;10.0 M;3;517,9;0,4;0;GAME_ADVENTURE;334913;57505;45776;33167;165796;FALSE;115347;190608;27865;351172;3,8;20;
Sonic Forces – Multiplayer Racing & Battle Game;26;625580;50.0 M;4;2,4;4,5;0;GAME_ADVENTURE;475950;58024;26954;14907;49743;FALSE;159818;1473;156540;604265;4,9;54;
RealmCraft with Skins Export to Minecraft;27;554454;50.0 M;4;2;4,4;0;GAME_ADVENTURE;378346;47366;27814;19163;81761;FALSE;47028;57248;194757;401523;2,5;76;
House Designer : Fix & Flip;28;549049;50.0 M;4;2,3;5,1;0;GAME_ADVENTURE;361061;64373;35178;20635;67799;FALSE;63970;73118;167237;562748;8,9;82;
Beggar Life - Clicker adventure;29;545166;5.0 M;4;0,1;0;0;GAME_ADVENTURE;367186;59836;37681;19145;61316;FALSE;94523;182991;52881;442247;8,6;52;
Animation Throwdown: The Collectible Card Game;30;532248;10.0 M;4;0,4;0,7;0;GAME_ADVENTURE;371942;93262;27248;11087;28706;FALSE;4094;24492;47491;321506;2;44;
Jurassic World Alive;31;530520;10.0 M;4;0,9;1,8;0;GAME_ADVENTURE;372553;68645;29737;14509;45074;FALSE;28701;21004;17394;212296;6,1;40;
Seekers Notes: Hidden Mystery;32;526594;10.0 M;4;0,6;1,2;0;GAME_ADVENTURE;329694;100003;44311;18809;33774;FALSE;69734;34049;69874;324223;2;32;
Mystery Manor: hidden objects;33;505541;10.0 M;4;2,3;5,3;0;GAME_ADVENTURE;359523;111661;17212;5896;11246;FALSE;55110;96029;111643;511941;8;41;
Crab War : Idle Swarm Evolution;34;495725;5.0 M;4;0,4;0,8;0;GAME_ADVENTURE;368974;72587;28261;8217;17684;FALSE;106256;9974;98301;420516;2,4;33;
Cyber Hunter;35;491846;10.0 M;4;0,5;0,9;0;GAME_ADVENTURE;312123;47791;31641;19418;80871;FALSE;128179;62621;180764;555556;7,6;38;
Diggy's Adventure: Mine Maze Levels & Pipe Puzzles;36;486767;10.0 M;4;0,7;1,7;0;GAME_ADVENTURE;335639;79203;27697;11655;32572;FALSE;133647;195481;133479;597550;1,3;79;
Ninja Arashi;37;476258;10.0 M;4;1,2;2,7;0;GAME_ADVENTURE;371122;46567;19971;9337;29259;FALSE;41370;177276;196107;457434;9;39;
LONEWOLF (17+) - a Sniper Story;38;443044;10.0 M;4;0,8;1,5;0;GAME_ADVENTURE;340597;55084;18141;7442;21778;FALSE;86421;28599;169777;545364;8,4;94;
Super Bob's World: Jungle Adventure- Free Run Game;39;442542;100.0 M;4;2,4;6;0;GAME_ADVENTURE;310760;41967;23638;14983;51191;FALSE;155817;160663;121108;521902;2,9;61;
Monster Warlord;40;434780;10.0 M;4;0;0;0;GAME_ADVENTURE;282007;58193;28882;13327;52369;FALSE;145150;105175;96676;632500;6;35;
Ingress Prime;41;428566;10.0 M;3;0,2;0,5;0;GAME_ADVENTURE;198352;56692;32869;24522;116130;FALSE;29547;174563;59786;495153;2,2;12;
Hidden Hotel: Miami Mystery;42;394199;10.0 M;4;0,6;1,3;0;GAME_ADVENTURE;259228;58165;28583;14117;34104;FALSE;196572;117769;91000;647521;4,3;19;
Survivors: The Quest;43;376854;1.0 M;4;1,2;2,5;0;GAME_ADVENTURE;210364;86173;53464;12423;14428;FALSE;52077;19471;177963;460829;5,2;87;
Manor Matters;44;373672;10.0 M;4;14,4;22,8;0;GAME_ADVENTURE;266506;60287;23503;7143;16231;FALSE;50576;23293;68732;414169;4,2;21;
Hard Time (Prison Sim);45;347489;10.0 M;3;0,6;1,4;0;GAME_ADVENTURE;213419;36163;25947;15482;56474;FALSE;144267;23192;73632;496718;7,3;97;
Draw a Stickman: EPIC 2;46;342940;10.0 M;3;0,7;1,7;0;GAME_ADVENTURE;210677;36908;25365;16060;53928;FALSE;139831;55171;5594;233533;7;83;
Westland Survival - Be a survivor in the Wild West;47;340647;10.0 M;4;2;4,9;0;GAME_ADVENTURE;240206;48397;20907;8870;22265;FALSE;54682;32333;24931;325974;5,4;25;
Transformers: RobotsInDisguise;48;326203;10.0 M;4;2283;0,4;0;GAME_ADVENTURE;238366;24575;15568;9217;38476;FALSE;61686;161131;58678;429392;3,1;69;
Crafting and Building;49;326177;10.0 M;4;11,7;27,8;0;GAME_ADVENTURE;248268;27790;11796;6681;31639;FALSE;34274;81134;5947;155087;6,7;78;
Ghost Town Adventures: Mystery Riddles Game;50;321154;10.0 M;4;0,1;0,2;0;GAME_ADVENTURE;205269;43812;25070;13274;33726;FALSE;182864;89902;20770;307173;9;29;
Hello Neighbor;51;320317;10.0 M;4;1027,4;17,4;0;GAME_ADVENTURE;208001;29851;19215;12693;50554;FALSE;103345;105029;61902;383174;7,3;30;
Piggy Boom-Be the island king;52;317393;10.0 M;4;0,1;0,2;0;GAME_ADVENTURE;254347;21977;13156;5943;21967;FALSE;103460;57635;25904;282492;6,3;53;
KENDALL & KYLIE;53;316902;5.0 M;4;0;0,1;0;GAME_ADVENTURE;237051;31312;17425;8567;22544;FALSE;85375;157228;166228;482672;9,4;34;
Shipwrecked:Castaway Island;54;316484;10.0 M;4;0;0;0;GAME_ADVENTURE;261012;25341;11826;4778;13525;FALSE;1169;64135;98509;317322;5,9;95;
Harry Potter: Wizards Unite;55;315349;10.0 M;3;0,2;0,5;0;GAME_ADVENTURE;147620;48065;29967;21162;68532;FALSE;115475;91180;130838;393481;2,9;94;
Masha and the Bear Child Games;56;310393;50.0 M;4;0,3;0,7;0;GAME_ADVENTURE;216151;24597;17098;10149;42396;FALSE;112044;50762;134766;545287;5,4;39;
Mirrors of Albion;57;302458;10.0 M;4;0;0;0;GAME_ADVENTURE;209809;34317;20129;11172;27028;FALSE;137263;92657;154205;452451;5,1;85;
Ninja warrior: legend of adventure games;58;299697;10.0 M;4;5;10,2;0;GAME_ADVENTURE;223886;21973;14655;8777;30403;FALSE;57235;67168;72845;252465;8,2;82;
Diamond Quest: Don't Rush!;59;276333;10.0 M;4;0,5;1,2;0;GAME_ADVENTURE;202494;37063;16735;6257;13781;FALSE;96283;102640;123635;400726;6,3;89;
Westbound:Perils Ranch;60;269887;10.0 M;4;0;60,6;0;GAME_ADVENTURE;215891;22409;13503;5547;12534;FALSE;82297;90103;35058;316705;9,1;39;
